Date,Platform,Active_Users,Downloads,Revenue_USD,Crash_Reports
2026-03-01,All,1540,320,450.50,12
2026-03-01,iOS,800,150,250.00,4
2026-03-01,Android,740,170,200.50,8
2026-03-02,All,1605,345,490.00,8
2026-03-02,iOS,820,160,260.00,3
2026-03-02,Android,785,185,230.00,5
2026-03-03,All,1420,290,380.25,15
2026-03-03,iOS,710,140,190.25,6
2026-03-03,Android,710,150,190.00,9
2026-03-04,All,1750,410,610.00,5
2026-03-04,iOS,890,200,320.00,2
2026-03-04,Android,860,210,290.00,3
2026-03-05,All,1820,430,680.50,4
2026-03-06,All,2100,550,890.75,22
2026-03-07,All,2350,620,1050.00,18
2026-03-08,iOS,800,,250.00,4
2026-03-08,Android,740,170,,8
2026-03-09,iOS,820,160,260.00,
2026-03-09,Android,,185,230.00,5
