Rank,Headline,Link
1,OpenClaw Security Assessment by ZeroLeaks [pdf],https://zeroleaks.ai/reports/openclaw-analysis.pdf
2,Swift is a more convenient Rust,https://nmn.sh/blog/2023-10-02-swift-is-the-more-convenient-rust
3,Mobile carriers can get your GPS location,https://an.dywa.ng/carrier-gnss.html
4,Scientist who helped eradicate smallpox dies at age 89,https://www.scientificamerican.com/article/smallpox-eradication-champion-william-foege-dies-at-89/
5,Apple-1 Computer Prototype Board #0 sold for $2.75M,https://www.rrauction.com/auctions/lot-detail/350902407346003-apple-1-computer-prototype-board-0-the-celebration-board-representing-the-earliest-known-fiberglass-apple-1-prototype/
6,Generative AI and Wikipedia editing: What we learned in 2025,https://wikiedu.org/blog/2026/01/29/generative-ai-and-wikipedia-editing-what-we-learned-in-2025/
7,In Praise of –dry-run,https://henrikwarne.com/2026/01/31/in-praise-of-dry-run/
8,Opentrees.org (2024),https://opentrees.org/#pos=1/-37.8/145
9,The Saddest Moment (2013) [pdf],https://www.usenix.org/system/files/login-logout_1305_mickens.pdf
10,Berlin: Record harvest sparks mass giveaway of free potatoes,https://www.theguardian.com/world/2026/jan/31/record-harvest-berlin-giveaway-potatoes
